DATE,GASOLENE,AUTO DIESEL
30-Jun-22,220.1587,227.2603
23-Jun-22,220.4087,227.5103
16-Jun-22,220.6587,223.0103
9-Jun-22,220.9087,218.5103
2-Jun-22,216.4087,214.0103
26-May-22,211.9087,210.9503
19-May-22,212.1587,211.2003
12-May-22,207.6587,211.4503
5-May-22,203.1587,211.7003
28-Apr-22,198.6587,207.2003
21-Apr-22,198.9087,202.7003
14-Apr-22,195.8487,198.2003
7-Apr-22,196.0987,196.7003
31-Mar-22,196.3487,196.9503
24-Mar-22,191.9787,192.4503
17-Mar-22,188.9187,187.9503
10-Mar-22,191.9287,190.9703
3-Mar-22,187.4287,186.4703
24-Feb-22,185.6687,183.4103
17-Feb-22,185.9187,183.6603
12-Aug-21,163.2087,144.7103
5-Aug-21,164.8487,147.7703
29-Jul-21,163.6187,146.4903
22-Jul-21,161.7087,143.9003
15-Jul-21,163.9987,146.1003
8-Jul-21,161.7287,143.5003
1-Jul-21,158.7887,143.6403
24-Jun-21,155.7287,142.5203
17-Jun-21,155.4787,142.6303
10-Jun-21,153.4487,140.0103
3-Jun-21,150.3887,136.9903
27-May-21,148.6387,135.2803
20-May-21,150.9887,137.4203
13-May-21,151.2387,136.1803
6-May-21,148.1787,134.1003
29-Apr-21,145.1187,131.1603
22-Apr-21,143.2087,130.2003
15-Apr-21,140.1487,127.1403
8-Apr-21,140.7287,125.8803
1-Apr-21,139.5387,127.2503
25-Mar-21,138.2787,127.5003
18-Mar-21,141.3387,130.5603
11-Mar-21,138.3987,130.1803
4-Mar-21,135.8987,128.8303
25-Feb-21,132.9587,125.8903
18-Feb-21,128.4587,122.8303
11-Feb-21,125.5887,121.5903
4-Feb-21,122.5587,118.6503
28-Jan-21,120.0287,116.5903
21-Jan-21,118.7687,116.4103
14-Jan-21,117.9487,114.9503
7-Jan-21,114.8887,113.1103
31-Dec-20,113.2487,114.2903
23-Dec-20,113.1887,114.7803
16-Dec-20,111.7287,114.5303
10-Dec-20,110.2487,112.5303
3-Dec-20,110.91,112.74
26-Nov-20,109.41,110.96
19-Nov-20,108.99,108.93
12-Nov-20,108.74,107.54
5-Nov-20,108.49,107.29
29-Oct-20,111.55,109.28
22-Oct-20,113.08,110.47
15-Oct-20,113.33,110.22
8-Oct-20,113.08,109.97
30-Sep-20,116.14,109.72
24-Sep-20,116.04,109.66
17-Sep-20,115.79,109.41
10-Sep-20,118.85,112.41
3-Sep-20,121.85,115.47
27-Aug-20,122.78,117.3
20-Aug-20,121.24,117.25
13-Aug-20,118.81,116.2
6-Aug-20,117.59,114.77
30-Jul-20,119.38,115.62
23-Jul-20,116.88,114.41
16-Jul-20,116.96,112.74
9-Jul-20,116.3,111.89
2-Jul-20,113.37,108.83
25-Jun-20,115.73,110.67
18-Jun-20,114.7,110.42
11-Jun-20,117.7,109.97
4-Jun-20,117.45,107.59
28-May-20,120.51,110.15
21-May-20,120.26,109.9
14-May-20,120.01,109.65
7-May-20,119.76,109.4
30-Apr-20,119.76,109.4
23-Apr-20,119.51,113.9
16-Apr-20,122.57,116.96
9-Apr-20,122.54,120.02
2-Apr-20,122.52,123.08
26-Mar-20,127.02,123.05
19-Mar-20,127.52,123.25
12-Mar-20,127.57,123.28
5-Mar-20,130.61,126.31
27-Feb-20,133.63,129.32
20-Feb-20,130.58,129.35
13-Feb-20,127.52,128.15
6-Feb-20,124.54,127.11
30-Jan-20,124.59,129.89
23-Jan-20,125.57,130.55
16-Jan-20,124.05,131.52
9-Jan-20,127.05,134.43
2-Jan-20,130.11,134.18